Stars,clean_text_train
4,overall good product using last month without issue good product
4,good product easy use package good recommend buy one think not like le space still buy bag review
4,value money good quality
4,good value money
4,bag decent zip bit low quality pocket not much space bottle holder started tear week look alright comfortable enough daily use though decent cost
4,spacious given price range quality also good look descent standard unlike brand budget best category
4,like good product
4,nice product nice
4,good quality given price material quality good
4,nice product nice product
4,good look comfortable
4,play video not bad price good quality good quality bag
4,nice bag price range check size body type good quality
4,good bag excellent
4,rain coat cover mentioned product image rain cover
3,copy look like use daily month use demage normal product
4,school good product
4,good product material good product
3,product made thin material not durable quality
4,perfect school college student
4,good product price good product price
3,worth quality not mark style good product quality
4,nice beg good
3,nice quality month front white color gone not wash bag time month super quality
4,good quality product product
3,think not original quality not good not value pay
4,useful everyone comfortable good one
3,item purchased expecting good american tourister quality bag light weight spacious flimsy not provide back support bag not purchased laptop bag not sure last long extended usage poor quality
3,mesh pocket bag get torn within one year usually used bag class torn within one year
3,found useful quality also good side mesh pocket real bad quality got torned within month usage mesh material could better bad serf job well
5,looking good bag packaging not like want costly product packaged safe good packaging nice bought yesterday
3,not bad
4,everything good price much according size back pack
4,good good
5,good worth money
3,average quality product single zip per every compartment zip runner single cost saving bad feature brand average quality product
4,comfort food quality good seems durable product nice want little bit smaller height
4,good material good product
3,bag got fine rain cover provided bag seems fine rain cover missing
5,amazing quality worth money amazing
5,awesome awesome
4,white colour bag good print outside vanishes regular use opinion one opt black one opt black colour
4,product lightweight water resistant plenty pocket product material definitely good issue got blue white bag day use white material starting come getting dirty worst dirty part could not cleaned soap alcohol sanitizer anything else however definitely look cool good except one
3,not get rain bag cover not get rain bag cover
3,separate compartment laptop good travel
4,great bag nice
4,nice bag nice
5,good space also much quality
3,material not good quite spacious month use look quite old okay
4,bag good laptop pocket laptop pocket
3,good large overall best good
3,school bag big compartment
3,side pocket torn apart use water bottle not satisfied
5,comfortable rough tough good one
5,good spacious bag durable product
4,satisfied product delivery timing good
5,value money good product
5,good good
3,okay one photo look better product
4,use day bottel pocket got cut bottle pocket
5,nice nice product
5,good space
4,good bag bag review
4,water resistant material classic backpack
5,happy good quality
4,like best
5,nice look good amount space book water bottle holder also big enough
5,quality product best quality
5,amazing product love material awesome packing also nice bag not packed unnecessary paper liked thank much amazon wonderful product amazon always love delivery smooth always got best product american tourist backpack
5,nothing better good durability
5,play video good looking unbeatable quality
3,material used thin much space expected not know much weight handled color padding also not expected level overall worth average quality
4,good back get easily damaged soon bag
5,material good zip quality best best quality
5,compact good carry laptop water bottle daily use nice bag
4,stitch solid premium weight le good
5,finally good quality bag affordable price good quality bag town
5,bag good design would better pocket inside otherwise stitching good everything good bag sturdy nice
5,bag good carry quality also fine quality good
5,worthy money superb product
3,like bag nice bag
5,worth every penny happy product good quality product
3,looking not good vagrancy
5,waste money quality bad quality not good
4,quality bag good rate bag american tourister backpack
4,
3,decent backpack bur not side reinforcement band size use school bag weight bad back retrun american tourister sure not committed cost saving usa luggage band make mistake
4,overall good good
4,bag okay light weight rain cover provide light weight
4,nice comfortable good student
4,good one nice
5,value money long durability good product
5,best bag like would also recommend best bag recommend
4,like product good quality
5,best backpack not think drawback compartment laptop wise good product valuable
5,good expected good expected
5,excellent product useful purchase
5,quite big light weight material used also quite nice nice product
5,nice bag son loved good product
5,fully satisfied product good delivery easy payment done thanks amazon value money
5,looking good bag packaging not like want costly product packaged safe good packaging nice bought yesterday
5,good worth money
5,amazing quality worth money amazing
5,awesome awesome
5,good space also much quality
5,comfortable rough tough good one
5,good spacious bag durable product
5,value money good product
5,good good
5,nice nice product
5,good space
5,happy good quality
5,nice look good amount space book water bottle holder also big enough
5,quality product best quality
5,play video amazing product love material awesome packing also nice bag not packed unnecessary paper liked thank much amazon wonderful product amazon always love delivery smooth always got best product american tourist backpack
5,nothing better good durability
5,good looking unbeatable quality
5,material good zip quality best best quality
5,compact good carry laptop water bottle daily use nice bag
5,finally good quality bag affordable price good quality bag town
